iter	RMSE
0	76234.95234
1	71884.33671
2	69170.81592
3	65319.71297
4	62911.54882
5	59147.05286
6	55928.06088
7	52868.16654
8	49887.05278
9	48084.83221
10	45482.17824
11	43848.22675
12	41504.97483
13	39245.12101
14	37151.7001
15	35778.4397
16	33889.89657
17	31997.8513
18	30292.42135
19	28706.66151
20	27109.45351
21	26082.10381
22	25171.96946
23	24261.74238
24	23015.44186
25	21892.2145
26	20771.32452
27	19733.18573
28	18727.44053
29	18097.64266
30	17475.57943
31	16856.44085
32	16251.25529
33	15692.15141
34	15128.28259
35	14603.17202
36	14111.78282
37	13627.89646
38	13144.2329
39	12676.66918
40	12248.49742
41	11821.38102
42	11430.41696
43	11015.68307
44	10628.62481
45	10265.51444
46	9903.43705
47	9564.788948
48	9244.949338
49	8916.187987
50	8621.281348
51	8328.98388
52	8055.900135
53	7781.097247
54	7521.187344
55	7269.537768
56	7027.208066
57	6793.849358
58	6569.303626
59	6352.420744
60	6131.725337
61	5930.252756
62	5734.005912
63	5545.623363
64	5363.489836
65	5188.147422
66	5019.362017
67	4856.908785
68	4700.272551
69	4549.456562
70	4403.925208
71	4263.841004
72	4128.813112
73	3998.814339
74	3873.537115
75	3752.962406
76	3636.798336
77	3525.033046
78	3418.171848
79	3295.664785
80	3192.402004
81	3079.516237
82	2971.725687
83	2868.732267
84	2770.266354
85	2676.083136
86	2594.461265
87	2506.881695
88	2423.196546
89	2343.196647
90	2273.000303
91	2198.908856
92	2129.920687
93	2057.749165
94	1988.131653
95	1920.981556
96	1854.879614
97	1791.173299
98	1729.775343
99	1670.602072
